,National Seasonally Adjusted,,,,,,,,,,,,,,,,,,,
May-79,43.5,,,,,,,,,,,,,,,,,,,
Aug-79,41.9,,,,,,,,,,,,,,,,,,,
Nov-79,38.4,,,,,,,,,,,,,,,,,,,
Feb-80,40.6,,,,,,,,,,,,,,,,,,,
May-80,36.7,,,,,,,,,,,,,,,,,,,
Aug-80,37.5,,,,,,,,,,,,,,,,,,,
Nov-80,38.7,,,,,,,,,,,,,,,,,,,
Feb-81,37.4,,,,,,,,,,,,,,,,,,,
May-81,44,,,,,,,,,,,,,,,,,,,
Aug-81,44.5,,,,,,,,,,,,,,,,,,,
Nov-81,41.7,,,,,,,,,,,,,,,,,,,
Feb-82,37.3,,,,,,,,,,,,,,,,,,,
May-82,30.3,,,,,,,,,,,,,,,,,,,
Aug-82,26.8,,,,,,,,,,,,,,,,,,,
Nov-82,30.3,,,,,,,,,,,,,,,,,,,
Feb-83,29.7,,,,,,,,,,,,,,,,,,,
May-83,32.4,,,,,,,,,,,,,,,,,,,
Aug-83,33.6,,,,,,,,,,,,,,,,,,,
Nov-83,36.3,,,,,,,,,,,,,,,,,,,
Feb-84,44.6,,,,,,,,,,,,,,,,,,,
May-84,40.3,,,,,,,,,,,,,,,,,,,
Aug-84,48.5,,,,,,,,,,,,,,,,,,,
Nov-84,49.8,,,,,,,,,,,,,,,,,,,
Feb-85,60.4,,,,,,,,,,,,,,,,,,,
May-85,68.6,,,,,,,,,,,,,,,,,,,
Aug-85,67.2,,,,,,,,,,,,,,,,,,,
Nov-85,66.2,,,,,,,,,,,,,,,,,,,
Feb-86,64.8,,,,,,,,,,,,,,,,,,,
May-86,66.1,,,,,,,,,,,,,,,,,,,
Aug-86,61.1,,,,,,,,,,,,,,,,,,,
Nov-86,66.3,,,,,,,,,,,,,,,,,,,
Feb-87,69.5,,,,,,,,,,,,,,,,,,,
May-87,66.9,,,,,,,,,,,,,,,,,,,
Aug-87,70.1,,,,,,,,,,,,,,,,,,,
Nov-87,66.9,,,,,,,,,,,,,,,,,,,
Feb-88,70.2,,,,,,,,,,,,,,,,,,,
May-88,74.4,,,,,,,,,,,,,,,,,,,
Aug-88,80.8,,,,,,,,,,,,,,,,,,,
Nov-88,85.1,,,,,,,,,,,,,,,,,,,
Feb-89,84.7,,,,,,,,,,,,,,,,,,,
May-89,93.7,,,,,,,,,,,,,,,,,,,
Aug-89,76.6,,,,,,,,,,,,,,,,,,,
Nov-89,79.2,,,,,,,,,,,,,,,,,,,
Feb-90,71.9,,,,,,,,,,,,,,,,,,,
